Name,Claude conversation,Download,Host,Long Clip Status,Parent item,Publish Date,Record Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Sub-item,Thumbnail,YouTube Link,🔮 Master Content Database
Krystle Cordingley,,,Charlie,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980b2b02cffa00ca4f534.md),,,
Mark Hyatt - Falcon Aerolab,,,"Isaac, Matt",Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598052bd18deccb88b9ad4.md),,https://youtu.be/h53EZNNeFhM,"Touch, Fly, Feel (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Touch,%20Fly,%20Feel%20103afe52ef5980b9bedafafee9b8a4a2.md)"
Nature Kids Connect,,,Charlie,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980cd828fec63c27960a4.md),,,"""When you run from a bear with your friends, it definitely forms very strong connections."" (15:27) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/When%20you%20run%20from%20a%20bear%20with%20your%20friends,%20it%20def%2010aafe52ef59803fb3ddcb4b2d84d8b0.md)"
Joey Mascio - Sidekick to Hero,,,,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59808e8572e794c676f2fe.md),,,
Q&A Matt & Isaac September,,,"Isaac, Matt",Not started,,,,,Done,,,Done,Q&A Matt & Isaac September Long Clips (Podcast/Podcast%20Master%20Calendar/Q&A%20Matt%20&%20Isaac%20September%20Long%20Clips%2023aafe52ef5980c3b224c8cea1c7ec84.md),,,
Matt Beadreau,,,"Ela, Matt",Not started,,,,,Done,,https://podcasters.spotify.com/pod/show/the-opened-podcast/episodes/Stop-Outsourcing-Your-Childs-Education--Matt-Beaudreau-on-Taking-Back-Control-e2q1tn4,Done,Matt Beadreau Long Clips (Podcast/Podcast%20Master%20Calendar/Matt%20Beadreau%20Long%20Clips%2023aafe52ef5980739c49f4e26b8064d9.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%201.png,https://youtu.be/IIpvdN48auY,
Jamie Lesko,,,Ela,Not started,,,"September 18, 2024",,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66eb1706a95b18266afb168f?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980048c28e629986bc7b3.md),,,
Sunny,,,"Charlie, Ela, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66e1eb136c2675cf4cddb31a?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clip (Podcast/Podcast%20Master%20Calendar/Long%20Clip%2023aafe52ef598083a4c9ca60234a4e6a.md),,,
Charlynn Chambers,,,"Ela, Isaac, Matt",Not started,,,"September 18, 2024",,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66eb34735633b16dec60f546?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980d4b6c4f36b6b4a2b2a.md),,,
Sandy Grant,,,Ela,Not started,,,"September 20, 2024",,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66ec76d17c3253027a7cb30e?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980b6a2f2d8a0f6cc568f.md),,,
Cassie Shepherd,,https://share.descript.com/view/RZrYVpMOWBm,"Ela, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66f4757ad45ec31ac6ff7a3c?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clip (Podcast/Podcast%20Master%20Calendar/Long%20Clip%2023aafe52ef59805d96a8d3f8172f917c.md),,,
Keri Mae,,,Ela,Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66f5967f041ab9667347fa57?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980efa4bef36f9c658665.md),,,
Q&A Matt Isaac ft. Andrea,,,"Andrea, Isaac, Matt",Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598090ba30e1dd9764821a.md),,,
Peggy Lowe,,https://share.descript.com/view/EQyFEsRx1t7,"Ela, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/67102430694cdaefeb0aca35?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980f3b444f92209bfbdd7.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(11).png,,
Laura Feller,,https://web.descript.com/0ae9fddd-1c6d-4eba-8e15-2bfc7201e37b,Ela,Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671a7e5e29677775bb5a75e8?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980e7a54efacfce5287c6.md),OpenEd%20Daily/Tess_Scholl_(6).png,https://youtu.be/1zfEhRJq_sI,"Her first instinct was to bring school home.. (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Her%20first%20instinct%20was%20to%20bring%20school%20home%20156afe52ef59805fb48bf7ee1862bd71.md), The doubt that stops most parents from homeschooling (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20doubt%20that%20stops%20most%20parents%20from%20homeschooli%20157afe52ef59809f88e1c55a363e529c.md), Why Math Mastery is important (Math UC) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20Math%20Mastery%20is%20important%20(Math%20UC)%20157afe52ef5980e3bd60d9e655fd928c.md), Laura Feller (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Laura%20Feller%201a6afe52ef5980298884f4e5bd48862a.md)"
Eleyah Knight,,https://web.descript.com/ddcaf149-d3b9-485d-a1c8-fa62078e771e,"Ela, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671951d27f757b6df7c2c8a6?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980ce9bf0f1b94c098402.md),OpenEd%20Daily/Eleyah_Knights.png,,"Eleyah Knight (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Eleyah%20Knight%201a6afe52ef598056a660f20407708dab.md), Blog Post: How to Create a Thriving Educational Micro-Community: The Complete Guide (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20How%20to%20Create%20a%20Thriving%20Educational%20Mic%201b9afe52ef598000b802e8b0655ae553.md)"
Claire Honeycutt,,https://web.descript.com/e5ed2bae-c794-4f2f-9b77-a22a61b7dd17/31ea6?editorVariant=default,"Charlie, Ela, Isaac",Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980cf87cfebe6d4522d9e.md),"OpenEd%20Daily/Tess_Scholl_(3).png, OpenEd%20Daily/Tess_Scholl_(4).png",,
Elle Tevebaugh,,https://web.descript.com/87b8f7e2-8cce-4a72-881d-6d2cf0c88aee/aa729,Ela,Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/6723c0fe24132bf462f5f015?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980ef998bd4c91b35345a.md),OpenEd%20Daily/Elle_Tevebaugh.png,,
Matt and Isaac Q&A,,https://web.descript.com/e14a8a80-a5d6-4cae-ba43-e1964960c48c/138b4,"Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/675c7634ff88961475d3d6bf?share-token=cd6bdc72a180229529b5&content-shared=project,https://creators.spotify.com/pod/show/the-opened-podcast/episodes/Homeschooled-Teen-Makes-150k-From-Garden-Boxes--Your-OpenEd-Qs-Answered-e2tstti,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980f9ae5decabc822b6a1.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%202.png,https://youtu.be/_dMhKMhX4K4,
(Draft) Brettani Shannon,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df,"Ela, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671ffcba35da7f47d9eaf214?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59801abb64cfb7b463885a.md),,,
Tess Scholl,,https://web.descript.com/7a95ec05-f1bc-4f81-9f77-c11d772c997f/8ea98?lite=false,Ela,Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/673e416c6a387480b0531137?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59804783e9eb78ad9d18d2.md),OpenEd%20Daily/Tess_Scholl_(3)%201.png,,
Jon England (Libertas Institute),,https://web.descript.com/c77cfb22-d96c-40ae-89fe-3c10b6030b08/808f7?editorVariant=default,"Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6765b09e365c87f4f77874a6?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980fcba01e08832613dec.md),"OpenEd%20Daily/Podcast_Thumbnail_Template.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(1).png",,
Grant Hewitt,,https://web.descript.com/387dbe8f-7e1e-490e-aa3c-52f5072f7df9/6635f?editorVariant=default,Isaac,Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6759ffc51152efbdeb64c8d3?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59808a9049f986ade4f6b8.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(4).png,,
Derrell Bradford,,https://web.descript.com/28b2d26a-0ead-4423-9c67-31ef4f1578c9/342e3,Isaac,Not started,,,"November 8, 2024",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/672e607c222676a1c0745b88?share-token=cd6bdc72a180229529b5&content-shared=project,https://creators.spotify.com/pod/show/the-opened-podcast/episodes/Why-Poor-Parents-Trust-Schools-More-Than-Rich-Ones-Do--Derrell-Bradford-e2t87lr,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59805a9cc3f87894e957c8.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%203.png,https://youtu.be/1lVb9Omo3NM,
Ben Kasica & Smallbone,,,Isaac,Not started,,,,,Done,https://riverside.fm/dashboard/studios/mbhp-studio/recordings/eb11d540-8998-4554-b3dc-47f26db3b303?share-token=15e529b1d47efcb9de91&content-shared=recording,,Done,Ben Kasica & Smallbone Long Clips (Podcast/Podcast%20Master%20Calendar/Ben%20Kasica%20&%20Smallbone%20Long%20Clips%2023aafe52ef598044b8f0def037b06912.md),"OpenEd%20Daily/Podcast_Thumbnail_Template%201.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(5).png",,
Andrew Campanella,,,Ela,Not started,,,,,Done,,,Done,Andrew Campanella Long Clips (Podcast/Podcast%20Master%20Calendar/Andrew%20Campanella%20Long%20Clips%2023aafe52ef5980bb989dc134019c8b16.md),,,
Matt Barnes & Matt Bowman,,https://web.descript.com/afef2962-b916-460d-bfa8-d32e111f39cd/dcdd8?lite=false,Matt,Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/cc19a43b-5e8f-490d-8c63-635425517de5?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Matt Barnes & Matt Bowman Long Clips (Podcast/Podcast%20Master%20Calendar/Matt%20Barnes%20&%20Matt%20Bowman%20Long%20Clips%2023aafe52ef5980958087c3034f73bbb7.md),OpenEd%20Daily/Tess_Scholl_(2).png,,
Jennifer Jenkins,,https://web.descript.com/40b6a998-54da-479b-9506-fec5cfe7d9b4/608c1,Charlie,Not started,,,,,Done,,,Done,Jennifer Jenkins Long Clips (Podcast/Podcast%20Master%20Calendar/Jennifer%20Jenkins%20Long%20Clips%2023aafe52ef5980bebda2dfde4ea60110.md),,,
Dalena Wallace,,https://share.descript.com/view/gWUdAnPhpJz,Isaac,Not started,,,,,Done,,,Done,Dalena Wallace Long Clips (Podcast/Podcast%20Master%20Calendar/Dalena%20Wallace%20Long%20Clips%2023aafe52ef59803fac4df1f7ccb0ce2c.md),,,"Honey, I started a microschool (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Honey,%20I%20started%20a%20microschool%201a5afe52ef5980649cdfe3ecaacb6ea8.md)"
Tyler Thigpen,https://claude.ai/share/6e8d10e6-f0bb-4e7a-900b-55517202dc97,https://web.descript.com/76c45037-a4c1-4e1c-a50e-678d20a8a6ad?editorVariant=default,"Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/13ce3545-f2e0-410c-8d97-83743881929b?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59800c8cbde75208bf61ab.md),,,"The real reason the spark dies.. 💔 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20real%20reason%20the%20spark%20dies%20%F0%9F%92%94%2019dafe52ef598059b2a7c6a75bd0bbf8.md), What if students designed their own school? 🏫✨ (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/What%20if%20students%20designed%20their%20own%20school%20%F0%9F%8F%AB%E2%9C%A8%2019eafe52ef598004870bfed3d8dd65fd.md), THIGPEN NEWSLETTER (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/THIGPEN%20NEWSLETTER%2019eafe52ef59806ba9f3da2fa67e37a1.md), Self-Directed Learning: A Complete Parent's Guide for 2025 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Self-Directed%20Learning%20A%20Complete%20Parent's%20Guide%20f%2019eafe52ef5980779125cb300fc98434.md), Untitled (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Untitled%2019fafe52ef5980d690decdef5a48d932.md)"
Matt & Ela Q&A,,https://web.descript.com/73eb189c-d8a2-4083-bb6e-6db0d918dbcf/608c1?editorVariant=default,"Ela, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/b6ae9d8e-c056-462b-98dc-3b248c95b063?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Matt & Ela Q&A Long Clips (Podcast/Podcast%20Master%20Calendar/Matt%20&%20Ela%20Q&A%20Long%20Clips%2023aafe52ef598079878ad2d98971bf8e.md),,,"Matt & Ela Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Matt%20&%20Ela%20Newsletter%201a6afe52ef5980cab473f83c7a9889c1.md), More freedom. Less stress. Better learning. (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/More%20freedom%20Less%20stress%20Better%20learning%201acafe52ef598054b3add24b5fbb8c65.md), The Biggest Fear Every Parent Faces (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Biggest%20Fear%20Every%20Parent%20Faces%201acafe52ef59807c97f7cbc64525661c.md), Ask them, ""What do YOU want to learn?"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ask%20them,%20What%20do%20YOU%20want%20to%20learn%201acafe52ef5980a0b310cbd2a5331a82.md), What if learning wasn’t time-slotted? (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/What%20if%20learning%20wasn%E2%80%99t%20time-slotted%201acafe52ef5980fabedec950e2253e30.md), Blog Post:  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%201afafe52ef5980cd8162fc3b55116d5b.md)"
Meg & Ela,,https://web.descript.com/a63e3417-82ae-455c-b797-83941171b2b7/3581b?lite=false,"Ela, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/d59bcf18-8744-4400-bcf3-bfb9ea6878a3?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Meg & Ela Long Clips (Podcast/Podcast%20Master%20Calendar/Meg%20&%20Ela%20Long%20Clips%2023aafe52ef5980318178c7325c083085.md),"OpenEd%20Daily/Podcast_Thumbnail_Template%202.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(3).png",,"BLog Post - Meg Thomas (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/BLog%20Post%20-%20Meg%20Thomas%201afafe52ef59803d98e5e96ca971b9d6.md), The Self-Managing Family Secret (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Self-Managing%20Family%20Secret%201b5afe52ef59808ca2c8f58f71fc9034.md), Stop Creating Entitled Children (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Stop%20Creating%20Entitled%20Children%201b5afe52ef5980b8a315f5a8b2d652fa.md), Working Myself Out of a Job (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Working%20Myself%20Out%20of%20a%20Job%201b5afe52ef5980deb338f6bdd8b26f3e.md)"
Maecy & ELa,,https://share.descript.com/view/omIQwUNAGqa,"Ela, Isaac, Matt",Not started,,,"March 14, 2025",,Done,https://riverside.fm/dashboard/studios/podcasts-blmvG/projects/67d45abf996509811bdd4de2?share-token=8efba606c8de7c7ec662&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980059689f1183ad4be53.md),OpenEd%20Daily/Maecy.png,,"SEO Article: ""Beyond the 3-Hour School Day: The Reality of Modern Homeschooling"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SEO%20Article%20Beyond%20the%203-Hour%20School%20Day%20The%20Reali%201baafe52ef598054938ef0885d3af5ed.md), ""This is why parents are breaking the education rules... 🤫
#education #specialneeds #parenting” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/This%20is%20why%20parents%20are%20breaking%20the%20education%20rul%201bdafe52ef59806aac5df765f56d385f.md), ""No wonder everyone's ditching traditional school... 👀
#homeschooling #education #parentingtips” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/No%20wonder%20everyone's%20ditching%20traditional%20school%20%F0%9F%91%80%201bdafe52ef598079a4d4f9d3c40d6db3.md), ""They literally made us believe we need fancy diplomas... 🤦‍♀️
#education #college #careeradvice” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/They%20literally%20made%20us%20believe%20we%20need%20fancy%20diplo%201bdafe52ef5980d39143ddc04cd40099.md), Thursday: Maecy Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Thursday%20Maecy%20Newsletter%201cfafe52ef598041a9a4f9e7ccd64505.md)"
