Sample Article Title ,Sample Keyword  ,Volume,Difficulty,Category,Geo,Notes / Sample URL ,,,
,Homeschooling for anxious kids,,,,,,,,
,,,,,,,,,
Homeschool FAQs,Starting homeschool mid-year,,,,,,,,
,Homeschooling for kindergarten vs first grade,,,,,,,,
,Is this reimbursable ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Utah ,how to homeschool in [state],100,,,,,,,
Iowa,how to homeschool in [state],100,,,,,,,
Nevada,how to homeschool in [state],100,,,,,,,
Indiana,how to homeschool in [state],150,,,,,,,
Kansas,how to homeschool in [state],90,,,,,,,
Oregon,how to homeschool in [state],100,,,,,,,
Arkansas,how to homeschool in [state],100,,,,,,,
Montana ,how to homeschool in [state],60,,,,,,,
Minnesota,how to homeschool in [state],60,,,,,,,
,,,,,,,,,
Hub and Spoke vs Blog (Virtual vs Physical Hub),,,,,,,,,
Option 1 - Product Page Hub,https://opened.co/virtual-school,,,,,,,,
,https://opened.co/virtual-school/oregon,,,,,,,,
,,,,,,,,,
Option 2 - Blog Pages,https://opened.co/blog/virtual-school,,,,,,,,
,https://opened.co/blog/oregon-virtual-school,,,,,,,,
,,,,,,,,,
Option 3 - Combo ,https://opened.co/virtual-school,,,,,,,,
,https://opened.co/blog/oregon-virtual-school,,,,,,,,
,,,,,,,,,
Option 4,just state/city blogs ,,,,,,,,
,,,,,,,,,
Option 5,https://opened.co/open-education/,,,,,,,,
,https://opened.co/open-education/virtual-school,,,,,,,,
,https://opened.co/open-education/virtual-school/oregon,,,,,,,,
,https://opened.co/open-education/virtual-school/oregon/portland,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,https://opened.co/blog/oregon-virtual-school,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Starting Your Homeschool Year Theme,,,,,,,,
,"""Going back to school"" shows returning to public school from homeschool ",,,,,,,,
,"""How to Start a Homeschool"" feels different intent, higher level focus ",,,,,,,,
,"Opporutnity around ""homeschool planning""",,,,,,,,
,homeschool planning,230,,,,,,,
,homeschool lesson plans,450,,,,,,,
,how to plan homeschool year,30,,,,,,,
,how to prepare for homeschooling,20,,,,,,,
,planning homeschool year,20,,,,,,,
