Name,Host,Record Date,Claude conversation,Download,Long Clip Status,Publish Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Thumbnail,YouTube Link,🔮 Master Content Database
Cassie Shepherd,"Ela, Isaac, Matt",,,https://share.descript.com/view/RZrYVpMOWBm,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66f4757ad45ec31ac6ff7a3c?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Keri Mae,Ela,,,,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66f5967f041ab9667347fa57?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Q&A Matt Isaac ft. Andrea,"Andrea, Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Peggy Lowe,"Ela, Matt",,,https://share.descript.com/view/EQyFEsRx1t7,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/67102430694cdaefeb0aca35?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(11).png,,
Laura Feller,Ela,,,https://web.descript.com/0ae9fddd-1c6d-4eba-8e15-2bfc7201e37b,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671a7e5e29677775bb5a75e8?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Tess_Scholl_(6).png,https://youtu.be/1zfEhRJq_sI,"Her first instinct was to bring school home.. (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Her%20first%20instinct%20was%20to%20bring%20school%20home%20156afe52ef59805fb48bf7ee1862bd71.md), The doubt that stops most parents from homeschooling (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20doubt%20that%20stops%20most%20parents%20from%20homeschooli%20157afe52ef59809f88e1c55a363e529c.md), Why Math Mastery is important (Math UC) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20Math%20Mastery%20is%20important%20(Math%20UC)%20157afe52ef5980e3bd60d9e655fd928c.md), Laura Feller (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Laura%20Feller%201a6afe52ef5980298884f4e5bd48862a.md)"
Eleyah Knight,"Ela, Isaac, Matt",,,https://web.descript.com/ddcaf149-d3b9-485d-a1c8-fa62078e771e,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671951d27f757b6df7c2c8a6?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Eleyah_Knights.png,,"Eleyah Knight (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Eleyah%20Knight%201a6afe52ef598056a660f20407708dab.md), Blog Post: How to Create a Thriving Educational Micro-Community: The Complete Guide (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20How%20to%20Create%20a%20Thriving%20Educational%20Mic%201b9afe52ef598000b802e8b0655ae553.md)"
Claire Honeycutt,"Charlie, Ela, Isaac",,,https://web.descript.com/e5ed2bae-c794-4f2f-9b77-a22a61b7dd17/31ea6?editorVariant=default,Not started,,,Done,,,Done,"OpenEd%20Daily/Tess_Scholl_(3).png, OpenEd%20Daily/Tess_Scholl_(4).png",,
Elle Tevebaugh,Ela,,,https://web.descript.com/87b8f7e2-8cce-4a72-881d-6d2cf0c88aee/aa729,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/6723c0fe24132bf462f5f015?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Elle_Tevebaugh.png,,
Matt and Isaac Q&A,"Isaac, Matt",,,https://web.descript.com/e14a8a80-a5d6-4cae-ba43-e1964960c48c/138b4,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/675c7634ff88961475d3d6bf?share-token=cd6bdc72a180229529b5&content-shared=project,https://creators.spotify.com/pod/show/the-opened-podcast/episodes/Homeschooled-Teen-Makes-150k-From-Garden-Boxes--Your-OpenEd-Qs-Answered-e2tstti,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%202.png,https://youtu.be/_dMhKMhX4K4,
(Draft) Brettani Shannon,"Ela, Isaac, Matt",,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/671ffcba35da7f47d9eaf214?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Tess Scholl,Ela,,,https://web.descript.com/7a95ec05-f1bc-4f81-9f77-c11d772c997f/8ea98?lite=false,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/673e416c6a387480b0531137?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Tess_Scholl_(3)%201.png,,
Jon England (Libertas Institute),"Isaac, Matt",,,https://web.descript.com/c77cfb22-d96c-40ae-89fe-3c10b6030b08/808f7?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6765b09e365c87f4f77874a6?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,"OpenEd%20Daily/Podcast_Thumbnail_Template.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(1).png",,
Grant Hewitt,Isaac,,,https://web.descript.com/387dbe8f-7e1e-490e-aa3c-52f5072f7df9/6635f?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6759ffc51152efbdeb64c8d3?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(4).png,,
Derrell Bradford,Isaac,"November 8, 2024",,https://web.descript.com/28b2d26a-0ead-4423-9c67-31ef4f1578c9/342e3,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/672e607c222676a1c0745b88?share-token=cd6bdc72a180229529b5&content-shared=project,https://creators.spotify.com/pod/show/the-opened-podcast/episodes/Why-Poor-Parents-Trust-Schools-More-Than-Rich-Ones-Do--Derrell-Bradford-e2t87lr,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%203.png,https://youtu.be/1lVb9Omo3NM,
Ben Kasica & Smallbone,Isaac,,,,Not started,,,Done,https://riverside.fm/dashboard/studios/mbhp-studio/recordings/eb11d540-8998-4554-b3dc-47f26db3b303?share-token=15e529b1d47efcb9de91&content-shared=recording,,Done,"OpenEd%20Daily/Podcast_Thumbnail_Template%201.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(5).png",,
Andrew Campanella,Ela,,,,Not started,,,Done,,,Done,,,
Matt Barnes & Matt Bowman,Matt,,,https://web.descript.com/afef2962-b916-460d-bfa8-d32e111f39cd/dcdd8?lite=false,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/cc19a43b-5e8f-490d-8c63-635425517de5?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,OpenEd%20Daily/Tess_Scholl_(2).png,,
Jennifer Jenkins,Charlie,,,https://web.descript.com/40b6a998-54da-479b-9506-fec5cfe7d9b4/608c1,Not started,,,Done,,,Done,,,
Dalena Wallace,Isaac,,,https://share.descript.com/view/gWUdAnPhpJz,Not started,,,Done,,,Done,,,"Honey, I started a microschool (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Honey,%20I%20started%20a%20microschool%201a5afe52ef5980649cdfe3ecaacb6ea8.md)"
Tyler Thigpen,"Isaac, Matt",,https://claude.ai/share/6e8d10e6-f0bb-4e7a-900b-55517202dc97,https://web.descript.com/76c45037-a4c1-4e1c-a50e-678d20a8a6ad?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/13ce3545-f2e0-410c-8d97-83743881929b?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"The real reason the spark dies.. 💔 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20real%20reason%20the%20spark%20dies%20%F0%9F%92%94%2019dafe52ef598059b2a7c6a75bd0bbf8.md), What if students designed their own school? 🏫✨ (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/What%20if%20students%20designed%20their%20own%20school%20%F0%9F%8F%AB%E2%9C%A8%2019eafe52ef598004870bfed3d8dd65fd.md), THIGPEN NEWSLETTER (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/THIGPEN%20NEWSLETTER%2019eafe52ef59806ba9f3da2fa67e37a1.md), Self-Directed Learning: A Complete Parent's Guide for 2025 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Self-Directed%20Learning%20A%20Complete%20Parent's%20Guide%20f%2019eafe52ef5980779125cb300fc98434.md), Untitled (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Untitled%2019fafe52ef5980d690decdef5a48d932.md)"
Matt & Ela Q&A,"Ela, Matt",,,https://web.descript.com/73eb189c-d8a2-4083-bb6e-6db0d918dbcf/608c1?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/b6ae9d8e-c056-462b-98dc-3b248c95b063?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Matt & Ela Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Matt%20&%20Ela%20Newsletter%201a6afe52ef5980cab473f83c7a9889c1.md), More freedom. Less stress. Better learning. (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/More%20freedom%20Less%20stress%20Better%20learning%201acafe52ef598054b3add24b5fbb8c65.md), The Biggest Fear Every Parent Faces (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Biggest%20Fear%20Every%20Parent%20Faces%201acafe52ef59807c97f7cbc64525661c.md), Ask them, ""What do YOU want to learn?"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ask%20them,%20What%20do%20YOU%20want%20to%20learn%201acafe52ef5980a0b310cbd2a5331a82.md), What if learning wasn’t time-slotted? (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/What%20if%20learning%20wasn%E2%80%99t%20time-slotted%201acafe52ef5980fabedec950e2253e30.md), Blog Post:  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%201afafe52ef5980cd8162fc3b55116d5b.md)"
Meg & Ela,"Ela, Matt",,,https://web.descript.com/a63e3417-82ae-455c-b797-83941171b2b7/3581b?lite=false,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/d59bcf18-8744-4400-bcf3-bfb9ea6878a3?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,"OpenEd%20Daily/Podcast_Thumbnail_Template%202.png, OpenEd%20Daily/Podcast_Thumbnail_Template_(3).png",,"BLog Post - Meg Thomas (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/BLog%20Post%20-%20Meg%20Thomas%201afafe52ef59803d98e5e96ca971b9d6.md), The Self-Managing Family Secret (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Self-Managing%20Family%20Secret%201b5afe52ef59808ca2c8f58f71fc9034.md), Stop Creating Entitled Children (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Stop%20Creating%20Entitled%20Children%201b5afe52ef5980b8a315f5a8b2d652fa.md), Working Myself Out of a Job (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Working%20Myself%20Out%20of%20a%20Job%201b5afe52ef5980deb338f6bdd8b26f3e.md)"
Maecy & ELa,"Ela, Isaac, Matt","March 14, 2025",,https://share.descript.com/view/omIQwUNAGqa,Not started,,,Done,https://riverside.fm/dashboard/studios/podcasts-blmvG/projects/67d45abf996509811bdd4de2?share-token=8efba606c8de7c7ec662&content-shared=project,,Done,OpenEd%20Daily/Maecy.png,,"SEO Article: ""Beyond the 3-Hour School Day: The Reality of Modern Homeschooling"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SEO%20Article%20Beyond%20the%203-Hour%20School%20Day%20The%20Reali%201baafe52ef598054938ef0885d3af5ed.md), ""This is why parents are breaking the education rules... 🤫
#education #specialneeds #parenting” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/This%20is%20why%20parents%20are%20breaking%20the%20education%20rul%201bdafe52ef59806aac5df765f56d385f.md), ""No wonder everyone's ditching traditional school... 👀
#homeschooling #education #parentingtips” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/No%20wonder%20everyone's%20ditching%20traditional%20school%20%F0%9F%91%80%201bdafe52ef598079a4d4f9d3c40d6db3.md), ""They literally made us believe we need fancy diplomas... 🤦‍♀️
#education #college #careeradvice” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/They%20literally%20made%20us%20believe%20we%20need%20fancy%20diplo%201bdafe52ef5980d39143ddc04cd40099.md), Thursday: Maecy Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Thursday%20Maecy%20Newsletter%201cfafe52ef598041a9a4f9e7ccd64505.md)"
TK x Isaac x Ela - the weird episode,"Ela, Isaac",,https://claude.ai/chat/bf151496-5fc6-4004-97f6-799322506d64,https://share.descript.com/view/enGi8e8geK3,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/67d469042c7004564c13eab2?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,OpenEd%20Daily/TK_Option_1_(2).png,,"CLIP 3: ""Why hide what makes your child unique?"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%203%20Why%20hide%20what%20makes%20your%20child%20unique%201baafe52ef598088baaeddc3af4dd0af.md), SEO Article: ""The Socialization Myth: Why Homeschooled Children Often Develop Stronger Social Skills"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SEO%20Article%20The%20Socialization%20Myth%20Why%20Homeschoole%201baafe52ef5980b08e38c6678a64de0b.md), CLIP 1: ""Being weird might be your child's superpower"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%201%20Being%20weird%20might%20be%20your%20child's%20superpowe%201baafe52ef5980bcae69f16389c0ae63.md), Subject Line: The Socialization Myth: Why ""Weird"" Kids Often Succeed (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Subject%20Line%20The%20Socialization%20Myth%20Why%20Weird%20Kids%201cfafe52ef59805cbb78fb79a5cdfbd9.md), Untitled (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Untitled%201d2afe52ef598027b5f2d89a51b53592.md), CLIP 2: ""School creates social environments that never exist again"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%202%20School%20creates%20social%20environments%20that%20nev%201d2afe52ef5980dbae42eb68ffb4f4d2.md)"
Chizick,"Charlie, Ela, Isaac",,,https://share.descript.com/view/knmlzqR2nmA,Not started,,,Done,https://riverside.fm/dashboard/studios/provider-convos/projects/67c0e951c4241f31e637f909?share-token=81484b742e53a8ab2ec9&content-shared=project,,Done,OpenEd%20Daily/Chizick.png,,"Silicon Valley's education secret is leaking (and it's not coding) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Silicon%20Valley's%20education%20secret%20is%20leaking%20(and%20%201baafe52ef59801c93f1f5e26fe1eda7.md), ""They literally don't want you to know what the ultra-wealthy do for their kids' education... 👀
#homeschooling #education #edtech” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/They%20literally%20don't%20want%20you%20to%20know%20what%20the%20ult%201bcafe52ef5980a389a0c7c9f847e498.md), ""No wonder everyone's overwhelmed by curriculum choices... 😳
#homeschooling #education #parentingtips” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/No%20wonder%20everyone's%20overwhelmed%20by%20curriculum%20cho%201bcafe52ef5980ca92fbef5d0239ae6c.md)"
Phillip Chipping,"Ela, Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Cassie,"Ela, Isaac, Matt",,,https://web.descript.com/5fbc1bbe-1f8f-4e3c-b4b2-8094ca78108f/571a0?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/67e6bc99f130fd44d3be4481?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,OpenEd%20Daily/OpenED_Thumbnails_(1).png,,"Cassie Tinsmon Carousel (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Cassie%20Tinsmon%20Carousel%201caafe52ef59804e8c7ceee3a3c6784e.md), CLIP: What if school and life weren't separate things? (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%20What%20if%20school%20and%20life%20weren't%20separate%20thin%201caafe52ef598069acf4ebd3fd41b244.md), BLOG (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/BLOG%201deafe52ef598063a7e8f0254b95e2f7.md)"
Zach Koon (Bottega University),Ela,,,https://share.descript.com/view/4oBTLAxg6mr,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/67f00431885f22e567f97e29?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,OpenEd%20Daily/Podcast_Thumbnails_(1).png,,"Zack Koon - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Social%20Media%20Package%20253afe52ef59800fb8a0ed91bfa0c1b4.md), Zack Koon - Blog Post Package  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Blog%20Post%20Package%20253afe52ef59802181b5c667b55fcb60.md), Zack Koon - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Youtube%20Package%20253afe52ef59808b9b26d62269a2e49a.md), OED 8.28 - Zack Koon (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%208%2028%20-%20Zack%20Koon%20253afe52ef5980f7b9b6e906d476eb25.md)"
